date,tot_cases,tot_cases_conf,tot_cases_prob,tot_deaths,tot_deaths_conf,tot_deaths_prob,new_cases,new_deaths,audit_deaths,new_cases_conf,new_cases_prob,new_deaths_conf,new_deaths_prob,new_cases_18_and_under,new_cases_18_and_under_conf,new_cases_18_and_under_prob,actual_deaths
2021-04-07,430860,327377.0,103483.0,6198.0,5607.0,591.0,1028.0,10.0,4.0,540.0,488.0,9.0,1.0,185.0,87.0,98.0,6.0
2021-04-06,429841,326828.0,103013.0,6184.0,5594.0,590.0,344.0,7.0,6.0,169.0,175.0,7.0,0.0,38.0,19.0,19.0,7.0
2021-04-05,429511,326642.0,102869.0,6171.0,5581.0,590.0,110.0,4.0,4.0,76.0,34.0,4.0,0.0,16.0,14.0,2.0,5.0
2021-04-04,429401,326566.0,102835.0,6163.0,5573.0,590.0,299.0,5.0,9.0,210.0,89.0,4.0,1.0,53.0,33.0,20.0,3.0
2021-04-03,429106,326208.0,102898.0,6149.0,5560.0,589.0,587.0,8.0,12.0,403.0,184.0,8.0,0.0,94.0,57.0,37.0,7.0
2021-04-02,428527,325925.0,102602.0,6129.0,5541.0,588.0,690.0,3.0,18.0,447.0,243.0,3.0,0.0,115.0,58.0,57.0,2.0
2021-04-01,427842,325482.0,102360.0,6108.0,5522.0,586.0,972.0,13.0,5.0,606.0,366.0,12.0,1.0,175.0,99.0,76.0,6.0
2021-03-31,426876,324813.0,102063.0,6090.0,5505.0,585.0,815.0,22.0,3.0,495.0,320.0,19.0,3.0,141.0,86.0,55.0,5.0
2021-03-30,426073,324328.0,101745.0,6065.0,5483.0,582.0,751.0,13.0,10.0,401.0,350.0,11.0,2.0,113.0,55.0,58.0,8.0
2021-03-29,425333,323948.0,101385.0,6042.0,5464.0,578.0,310.0,11.0,0.0,197.0,113.0,8.0,3.0,50.0,28.0,22.0,10.0
2021-03-28,425024,323743.0,101281.0,6031.0,5456.0,575.0,361.0,8.0,0.0,270.0,91.0,5.0,3.0,72.0,48.0,24.0,1.0
2021-03-27,424666,323473.0,101193.0,6023.0,5451.0,572.0,637.0,15.0,0.0,402.0,235.0,13.0,2.0,100.0,43.0,57.0,5.0
2021-03-26,424055,323113.0,100942.0,6008.0,5438.0,570.0,646.0,27.0,11.0,362.0,284.0,22.0,5.0,159.0,72.0,87.0,9.0
